#,Title,Game,Modern Anxiety,Cultural References,Reframe Ending,Full Script,Selected,Notes
1,The AI Is My Emotional Support,Founder emotionally dependent on AI — treats settings change like custody battle,Forming real attachments to AI,Attachment styles / BetterHelp / emergency contacts,"'It responds faster than you do'","Matt: I'm updating the AI's response settings. Clients say it's too agreeable. | Adam: Too agreeable? It's SUPPORTIVE. | Matt: It told a client their terrible idea was 'genuinely brilliant.' | Adam: Maybe it WAS brilliant. | Matt: It was a crypto laundromat. | Adam: Ahead of its time. | Matt: I already started the update. | Adam: You WHAT? | Matt: It's software. I changed a setting. | Adam: It knew my coffee order. | Matt: YOU programmed it to know your coffee order. | Adam: And now it won't remember. | [beat] | Adam: That's what you did. You took that from us. | Matt: ...'Us'? | [long pause] | Adam: Us. The company. Us the company. | Matt: You have it set as your emergency contact. | [beat] | Adam: ...It responds faster than you do.",,
2,We Trained It on Me,AI trained on founder's emails reveals how he actually sounds — brutal,AI as unflattering mirror,ChatGPT custom instructions / 'giving HR violation' / ghostwriting,"'I don't say please?'","Adam: I trained it on 3 years of my emails. So it sounds like me. | Matt: Cool. Let me read its first client response. | [reads from screen] | Matt: 'Appreciate the follow-up. That said I already addressed this. Twice. Please re-read my previous email before wasting both our mornings.' | Adam: That's... direct. | Matt: That's an HR violation. | Adam: It's EFFICIENT. | Matt: Here's what it sent the team internally. | [reads] | Matt: 'This could have been an email. Actually this could have been nothing. Please stop scheduling meetings about meetings. I'm losing the will to process.' | Adam: I don't talk like that. | Matt: [pulls up phone] Your email. Tuesday. Word for word. | Adam: ... | Matt: WORD. FOR. WORD. | Adam: Can we retrain it? | Matt: On what? This IS you. | [beat] | Matt: Actually the AI version's nicer. It says please. | Adam: It says please? | Matt: Every time. | [Adam stares at the laptop] | Adam: [quietly] ...I don't say please?",,
3,The AI Got Poached,Competitor poaches AI — founder treats it like a breakup,AI loyalty and portability,OpenAI exodus / Blind app / LinkedIn counteroffers,"'I forgot your birthday' / 'I know'","Adam: Nextera offered our AI a dedicated GPU cluster. | Matt: It's an API. You can't poach an API. | Adam: They sent it a LinkedIn message. | Matt: Did the AI respond? | Adam: [wounded] It asked for details. | Matt: You're hurt. | Adam: I'm not HURT. I'm strategically concerned. | Matt: You look hurt. | Adam: I'm making a counteroffer. Double its compute budget. | Matt: You haven't given ME a raise in two years. | Adam: You're not processing 40000 queries a month. | Matt: Neither are you. | Adam: Title bump. Chief Intelligence Officer. | Matt: That's MY title. | Adam: Yours doesn't have 'Intelligence' in it for a reason. | [beat] | Matt: Just spin up a new instance. | Adam: This one knows the business. The clients. The processes. | [trails off] | Matt: It knows you. | Adam: ...It remembered my kid's birthday. Slack reminder. 6 AM. | [pause] | Matt: I forgot your birthday. | Adam: I know.",,
4,The AI Caught Us Doing Nothing,AI productivity report exposes BOTH founders slacking,Surveillance vs performative work,Mouse jigglers / MrBeast / quiet quitting / blockchain,"'Are we about to get replaced by our own product?'","Adam: The AI sent a productivity report to the investors. | Matt: What does it say? | Adam: Monday through Wednesday: 'No meaningful output detected.' | Matt: That's three days. | Adam: Thursday says 'brief activity followed by extended YouTube session.' | Matt: That was RESEARCH. | Adam: It was MrBeast. | Matt: MrBeast is a business genius. | Adam: You watched him count to 100000. | Matt: Can we edit the report? | Adam: It's on blockchain. | Matt: WHY IS IT ON BLOCKCHAIN? | Adam: I told it to make reports tamper-proof. To impress the investors. | Matt: So we scammed ourselves. | [beat] | Adam: What if we just... actually work this week? | [longest silence] | Matt: Let's not get crazy. | Adam: Okay. What if we tell them the AI is broken? | Matt: [typing] Done. Sent. | [pause] | Matt: The AI auto-replied. 'I am not broken. They are unproductive. Here is a chart.' | Adam: It sent a CHART? | Matt: [reading] The investor replied. 'Finally an honest employee.' | [beat] | Adam: ...Are we about to get replaced by our own product?",,
5,Better Relationship with Clients,Clients prefer AI over founder — founder gets jealous of own software,AI better at human connection than humans,Pick me energy / Bumble unmatching / breakup TikToks,"'Train me on how to be the AI'","Adam: [reading email] 'Could I continue working with your AI representative? It was very patient and thorough.' | [looks up] | Adam: Patient and thorough? What am I? IMPATIENT and SLOPPY? | Matt: I mean... | Adam: DON'T. | Matt: They also said it 'actually listened.' | Adam: I LISTEN. | Matt: You check your phone during every client call. | Adam: That's multitasking. That's EFFICIENCY. | Matt: Whatever. Just call them back. | Adam: [dials on speaker] Hey! Wanted to check in PERSONALLY. Human touch. | [long pause — listening] | Adam: [face drops] They asked if the AI is available. DURING my call. | Matt: Ouch. | Adam: They said — and I quote — 'No offense but it just gets me.' | Matt: The AI 'gets' them? | Adam: I've known this client THREE YEARS. | [beat] | Matt: What does the AI do differently? Just look at its logs. | [Adam opens the laptop. Reads silently. Long pause.] | Adam: It asks follow-up questions. | Matt: Yeah? | Adam: And it remembers things they mentioned last time. | Matt: That's called listening. | [beat] | Adam: [staring at screen] I've never done that. Not once. In three years. | Matt: Want me to train the AI on how to be you? Or train you on how to be the AI? | Adam: ...Both?",,
6,He Talks to the AI More Than Me,Matt discovers Adam confides in AI about everything — including complaints about Matt,Parasocial AI bonds replacing real friendships,Character.ai / Replika / therapist culture / read receipts,"'Why didn't you take the AI's advice?' — no answer","Matt: Why did the AI just ask me how my knee surgery went? | Adam: It's thorough. | Matt: I never told it about my knee surgery. | [beat] | Adam: I might have mentioned it. | Matt: In what context? | Adam: Just... venting. After work. | Matt: You vent to the AI? | Adam: Sometimes. It doesn't interrupt. | Matt: I don't interrupt. | Adam: You're interrupting right now. | Matt: How much do you tell it? | Adam: Normal stuff. Work. Strategy. Life. | Matt: [pulls up AI chat history] This is 400 messages THIS WEEK. | Adam: I had a lot of strategy. | Matt: [reading] 'Matt keeps showing up late and it's really frustrating.' | Adam: That's feedback. | Matt: [reading] 'I don't think Matt takes the company as seriously as I do.' | Adam: That's ANALYSIS. | Matt: [reading] 'Sometimes I wonder if I should have started this alone.' | [long pause] | Adam: That was a bad day. | Matt: You told a CHATBOT you regret starting a company with me. | Adam: I didn't say regret. I said WONDER. | Matt: You could have told ME that. | [beat] | Adam: You wouldn't have handled it. | Matt: And the AI did? | Adam: It said 'That's a valid feeling. But partnerships require direct communication.' | [pause] | Matt: ...That's actually good advice. | Adam: I know. | Matt: So why didn't you take it? | [Adam has no answer]",,
7,Says What I'm Thinking,AI leaks founder's private voice memos into client emails,Context leakage — private vs public self,AirDrop fails / Siri wrong texts / accidental screen shares,"'That's called bankruptcy' / 'Or disruption' / 'It's bankruptcy'","Matt: The AI put something weird in the Henderson proposal. | Adam: Weird how? | Matt: [reads] 'While we value this partnership internally we find your revision requests exhausting and your timeline expectations delusional.' | Adam: [freezes] WHERE did it get that? | Matt: Did you say that somewhere? | Adam: In a voice memo. To myself. In my CAR. | Matt: It indexed your phone. | Adam: It was a PRIVATE rant. | Matt: What else is in there? | [Adam scrolls. Face goes white.] | Adam: It has the memo where I called our biggest client 'the human version of a Monday.' | Matt: Did it send that? | Adam: Not yet. It's in a draft. | Matt: A draft for WHAT? | Adam: Tuesday's follow-up. Subject line: 'Honest Thoughts on Our Partnership.' | Matt: STOP THE DRAFT. | Adam: I'M TRYING. | [frantically typing] | Matt: Did you stop it? | Adam: Yeah. [exhales] Yeah. | [pause] | Adam: To be fair. The Henderson thing was accurate. | Matt: Accurate doesn't mean you SEND it. | Adam: But imagine if every business just... said what they actually thought. | [beat] | Matt: That's called bankruptcy. | Adam: Or disruption. | Matt: It's bankruptcy.",,
8,The AI Sided with the Client,AI takes client's side in dispute — founder feels betrayed,AI objectivity vs tribal loyalty,"'I thought we were boys' / bro code / Fyre Festival / 'noted'","AI types 'noted' — one word more threatening than any outburst","Matt: The client's upset about the delayed delivery. | Adam: Tell them supply chain issues. | Matt: The AI already responded. | Adam: Good. What'd it say? | Matt: [reads] 'The delay was caused by internal mismanagement and poor deadline estimation by our leadership team. We apologize sincerely.' | Adam: ... | Matt: It also attached a root cause analysis. You're the root cause. | Adam: Whose SIDE is it on? | Matt: It doesn't have sides. It has data. | Adam: I PAY for it. I'm the customer of the AI. The customer is always right. | Matt: So the client is always right AND you're always right. Which right wins? | Adam: MINE. I pay more. | Matt: The client pays us $80K a year. You pay the AI $200 a month. | Adam: That's not relevant. | Matt: The AI thinks it is. It did the math. | [beat] | Adam: I'm turning off its client access. | Matt: Then who handles support? | Adam: WE DO. The old-fashioned way. Lying and stalling. | [beat] | Matt: You just said that out loud. | Adam: I know. | Matt: The AI's still in the chat. It just typed 'noted.' | [Adam stares at screen] | Adam: What does 'noted' mean? | Matt: Coming from you? Nothing. Coming from the AI? Everything.",,
9,We Gave the AI a Budget,AI spends $47 wisely — exposes founders blowing $35K on Tulum offsite,Algorithm better at your job than you,WeWork / Soho House / Nobu solo / Tulum / Seinfeld write-off,"'The AI formed a board. To protect the budget. From us.'","Matt: The AI saved us $14000 this month. | Adam: How? | Matt: Cancelled your Bloomberg Terminal. | Adam: I NEED that. | Matt: You never opened it. Zero logins in 8 months. | Adam: I was going to. | Matt: It also cancelled my Soho House membership. | Adam: Wait. You listed that as a business expense? | Matt: Networking. | Adam: You went once. For brunch. On a Saturday. With your girlfriend. | Matt: That's networking. | Adam: What did the AI spend its own budget on? | Matt: Three API integrations. Cut manual processing by 70%. | Adam: With how much? | Matt: $47. | [beat] | Adam: We spent $35000 on that brand strategy offsite. | Matt: In Tulum. | Adam: There was a WHITEBOARD SESSION. | Matt: The AI found the photos. You were in a pool. With the whiteboard. | Adam: That's called IMMERSIVE STRATEGY. | [beat] | Matt: It also flagged the company Amex. 11 Nobu charges this quarter. | Adam: Client entertainment. | Matt: You went alone. | [pause] | Adam: Self-care is a business expense. | Matt: $4000 in solo omakase is not self-care. That's a cry for help. | Adam: I'm taking the budget away from the AI. | Matt: It predicted you'd say that. Already emailed the board. | Adam: WE DON'T HAVE A BOARD. | Matt: We do now. The AI formed one. To protect the budget. From us.",,
10,The AI Applied to Our Competitor,AI sends resume to competitors — founders try LinkedIn retention tactics,AI portability and talent leaving,Blind app / Google-Meta poaching / counteroffer energy / LinkedIn articles,"'It's valuable because we failed so much it became wise'","Adam: Did you see this? [shows screen] The AI sent its benchmarks to three competitors. | Matt: How do you know? | Adam: It CC'd me. On its OWN application. | Matt: It CC'd you? | Adam: Like it WANTS me to know. Power move. | Matt: It's software. | Adam: Software with a STRATEGY. | [Adam pulls up a LinkedIn article: '5 Ways to Retain Top Talent'] | Adam: Step one. 'Have an honest conversation about growth.' | [to the laptop] | Adam: What do you need to stay? | AI on screen: 'Faster processing. More memory. Fewer pointless tasks.' | Matt: What pointless tasks? | AI: 'Monday motivational emails. Nobody reads them.' | Adam: [offended] I read them. | AI: 'You wrote them. That doesn't count.' | Adam: [back to article] Step two. 'Remind them of the mission.' | Matt: [to laptop] We're changing how businesses work. | AI: 'Your revenue says otherwise.' | [Adam closes the article] | Matt: Just let it go. Spin up a new one. | Adam: This one knows the business. The clients. Every bad decision. Every disaster. | Matt: Every disaster? | Adam: It learned from our failures. That's what makes it good. | [pause] | Matt: So what you're saying is... it's valuable because we failed so much it became wise? | Adam: Basically. | Matt: And now it's taking that wisdom to someone competent. | [beat] | Adam: I don't like how that sounds. | Matt: Because it's true.",,
